,t0_rog,t0_entropy_step,t0_contact_locs,t0_known_locs,t0_wind_instensity,t0_prop_damaged_buildings,t0_rain_intensity,t0_dist2_DTMsites,t0_dist2_mainroads,t0_dist2_urbancentres,t0_popdensity3km_2015,t0_DTM_IDPpop,t1_contact_locs,t1_known_locs,t1_wind_instensity,t1_prop_damaged_buildings,t1_rain_intensity,t1_dist2_DTMsites,t1_dist2_mainroads,t1_dist2_urbancentres,t1_popdensity3km_2015,t1_DTM_IDPpop,t1_dist_to_hl,t2_contact_locs,t2_known_locs,t2_wind_instensity,t2_prop_damaged_buildings,t2_rain_intensity,t2_dist2_DTMsites,t2_dist2_mainroads,t2_dist2_urbancentres,t2_popdensity3km_2015,t2_DTM_IDPpop,t2_dist_to_hl,t3_contact_locs,t3_known_locs,t3_wind_instensity,t3_prop_damaged_buildings,t3_rain_intensity,t3_dist2_DTMsites,t3_dist2_mainroads,t3_dist2_urbancentres,t3_popdensity3km_2015,t3_DTM_IDPpop,t3_dist_to_hl
1000,low-medium,high,some,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,some,most,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,zero-low,some,some,low,low,medium,no_sites,low-medium,medium-high,low-medium,zero-low,medium-high,some,some,low,low,medium,no_sites,low-medium,medium-high,low-medium,zero-low,medium-high
1001,medium-high,low-medium,some,some,medium,low,low,no_sites,zero-low,low-medium,low-medium,zero-low,zero,some,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,high,zero,some,low,low,medium,no_sites,high,medium-high,low-medium,zero-low,high,zero,some,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,high
1002,low-medium,low-medium,some,most,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,some,some,high,low,medium,near,medium-high,low-medium,medium-high,high,high,some,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low,some,most,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,zero-low
1003,high,zero-low,most,most,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,some,some,low,low,low,no_sites,zero-low,zero-low,low-medium,zero-low,high,some,some,low,low,low,no_sites,zero-low,zero-low,low-medium,zero-low,high,some,some,low,low,low,no_sites,zero-low,zero-low,low-medium,zero-low,high
1004,high,low-medium,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,some,some,high,high,high,near,high,medium-high,low-medium,zero-low,high,some,some,high,high,high,near,high,medium-high,low-medium,zero-low,high,some,some,high,low,high,far,high,medium-high,zero-low,zero-low,high
1005,zero-low,high,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,zero-low
1006,low-medium,medium-high,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,zero,some,high,low,medium,far,zero-low,medium-high,zero-low,zero-low,high,most,some,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low
1007,medium-high,medium-high,most,most,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,low-medium
1008,high,medium-high,some,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,some,some,medium,low,high,no_sites,low-medium,zero-low,medium-high,zero-low,high,some,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,low-medium,some,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,low-medium
1009,medium-high,low-medium,most,some,low,low,low,no_sites,high,zero-low,low-medium,zero-low,most,some,low,low,low,no_sites,high,medium-high,low-medium,zero-low,low-medium,most,some,low,low,low,no_sites,high,medium-high,low-medium,zero-low,low-medium,most,some,low,low,low,no_sites,high,medium-high,low-medium,zero-low,low-medium
1010,low-medium,low-medium,most,most,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,low-medium,zero,some,medium,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,high,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low
1011,low-medium,medium-high,some,some,high,low,high,near,high,medium-high,low-medium,zero-low,some,most,high,low,high,near,high,medium-high,low-medium,zero-low,medium-high,some,some,high,high,high,near,high,medium-high,zero-low,zero-low,low-medium,some,most,high,low,high,near,high,medium-high,low-medium,zero-low,low-medium
1012,low-medium,high,most,most,medium,low,medium,no_sites,zero-low,medium-high,zero-low,zero-low,most,some,medium,low,medium,no_sites,zero-low,low-medium,low-medium,zero-low,low-medium,most,some,medium,low,medium,no_sites,low-medium,low-medium,low-medium,zero-low,low-medium,most,some,medium,low,medium,no_sites,zero-low,low-medium,low-medium,zero-low,low-medium
1013,low-medium,high,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,zero-low
1014,zero-low,medium-high,most,most,low,low,medium,no_sites,zero-low,low-medium,medium-high,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,low-medium
1015,high,high,some,some,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,some,some,medium,low,medium,no_sites,low-medium,medium-high,medium-high,zero-low,high,some,some,medium,low,medium,no_sites,low-medium,medium-high,low-medium,zero-low,medium-high,some,some,medium,low,medium,no_sites,low-medium,medium-high,low-medium,zero-low,medium-high
1016,zero-low,zero-low,some,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,zero,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low,zero,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,zero-low,most,some,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,medium-high
1017,zero-low,zero-low,some,some,high,low,medium,near,high,medium-high,zero-low,zero-low,some,most,high,low,medium,near,high,medium-high,zero-low,zero-low,low-medium,some,zero,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,high,some,most,high,low,medium,near,high,medium-high,zero-low,zero-low,low-medium
1018,zero-low,high,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,most,most,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,zero-low
1019,zero-low,zero-low,most,some,high,low,medium,far,high,medium-high,zero-low,zero-low,most,some,high,low,high,far,high,medium-high,zero-low,zero-low,medium-high,some,some,high,low,high,far,high,medium-high,zero-low,zero-low,medium-high,some,some,high,low,high,far,high,medium-high,zero-low,zero-low,medium-high
1020,medium-high,zero-low,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,zero,some,medium,low,high,no_sites,zero-low,medium-high,zero-low,zero-low,high,zero,some,medium,low,high,far,zero-low,medium-high,zero-low,zero-low,high,zero,some,medium,low,high,no_sites,zero-low,medium-high,zero-low,zero-low,medium-high
1021,high,high,some,some,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero,some,medium,low,low,no_sites,high,medium-high,zero-low,zero-low,high,some,some,low,low,low,no_sites,zero-low,medium-high,low-medium,zero-low,high,some,some,low,low,low,no_sites,zero-low,medium-high,low-medium,zero-low,high
1022,high,low-medium,zero,some,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,high,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,medium-high,most,most,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,medium-high
1023,low-medium,high,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,low-medium
1024,medium-high,medium-high,most,some,medium,low,low,no_sites,medium-high,low-medium,medium-high,zero-low,some,some,low,low,low,no_sites,medium-high,medium-high,zero-low,zero-low,medium-high,most,some,medium,low,low,no_sites,low-medium,low-medium,medium-high,zero-low,zero-low,some,some,low,low,low,no_sites,medium-high,medium-high,zero-low,zero-low,medium-high
1025,medium-high,medium-high,most,some,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,zero,some,medium,low,high,far,medium-high,medium-high,zero-low,zero-low,high,zero,some,medium,low,high,no_sites,high,medium-high,zero-low,zero-low,high,zero,some,medium,low,high,far,high,medium-high,zero-low,zero-low,high
1026,low-medium,high,most,most,low,low,medium,no_sites,low-medium,low-medium,medium-high,zero-low,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,zero-low
1027,zero-low,high,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,zero-low,low-medium,medium-high,zero-low,low-medium,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,zero-low
1028,medium-high,zero-low,most,some,medium,low,low,no_sites,medium-high,low-medium,medium-high,zero-low,most,some,low,low,low,no_sites,zero-low,low-medium,medium-high,zero-low,low-medium,most,some,low,low,low,no_sites,zero-low,low-medium,low-medium,zero-low,low-medium,most,some,low,low,low,no_sites,zero-low,low-medium,low-medium,zero-low,low-medium
1029,medium-high,high,zero,some,high,low,medium,near,low-medium,medium-high,low-medium,zero-low,zero,some,high,low,medium,near,medium-high,medium-high,zero-low,zero-low,zero-low,zero,some,high,low,high,near,zero-low,low-medium,low-medium,zero-low,medium-high,zero,some,high,low,medium,near,medium-high,medium-high,zero-low,zero-low,zero-low
1030,low-medium,zero-low,some,some,low,low,low,no_sites,high,zero-low,low-medium,zero-low,some,some,low,low,low,no_sites,high,medium-high,zero-low,zero-low,medium-high,some,some,low,low,low,no_sites,high,medium-high,zero-low,zero-low,medium-high,some,some,low,low,low,no_sites,high,medium-high,zero-low,zero-low,medium-high
1031,low-medium,high,most,most,high,low,high,near,low-medium,low-medium,low-medium,high,most,most,high,low,high,near,medium-high,zero-low,medium-high,high,zero-low,most,most,high,low,high,near,zero-low,low-medium,low-medium,low-medium,zero-low,most,some,high,low,medium,near,low-medium,medium-high,low-medium,zero-low,medium-high
1032,high,low-medium,most,some,low,low,medium,no_sites,zero-low,low-medium,low-medium,zero-low,zero,some,medium,low,low,no_sites,low-medium,zero-low,medium-high,zero-low,high,zero,some,medium,low,low,no_sites,zero-low,zero-low,medium-high,zero-low,high,zero,some,medium,low,low,no_sites,low-medium,zero-low,medium-high,zero-low,high
1033,high,medium-high,some,some,low,low,medium,no_sites,low-medium,low-medium,medium-high,zero-low,some,some,medium,low,medium,no_sites,high,medium-high,low-medium,zero-low,medium-high,some,some,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,zero-low,some,some,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,zero-low
1034,high,low-medium,most,some,medium,low,high,no_sites,medium-high,zero-low,medium-high,zero-low,zero,some,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,medium-high,zero,some,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,medium-high,zero,some,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,medium-high
1035,medium-high,zero-low,most,some,medium,low,high,no_sites,low-medium,low-medium,medium-high,zero-low,zero,some,low,low,low,no_sites,low-medium,zero-low,medium-high,zero-low,high,most,some,medium,low,high,no_sites,zero-low,low-medium,medium-high,zero-low,zero-low,most,some,medium,low,high,no_sites,zero-low,low-medium,medium-high,zero-low,zero-low
1036,zero-low,zero-low,some,most,high,low,medium,near,medium-high,low-medium,low-medium,low-medium,some,most,high,low,medium,near,zero-low,low-medium,low-medium,high,low-medium,some,most,high,low,medium,near,medium-high,zero-low,low-medium,high,low-medium,some,most,high,low,medium,near,zero-low,low-medium,low-medium,high,zero-low
1037,medium-high,medium-high,some,some,low,low,medium,no_sites,low-medium,low-medium,low-medium,zero-low,some,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,medium-high,some,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,medium-high,some,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,medium-high
1038,zero-low,zero-low,some,some,high,low,high,far,high,medium-high,zero-low,zero-low,some,some,medium,low,high,far,medium-high,zero-low,medium-high,zero-low,medium-high,some,some,medium,low,high,far,medium-high,zero-low,low-medium,zero-low,medium-high,some,some,medium,low,high,far,high,medium-high,zero-low,zero-low,medium-high
1039,medium-high,medium-high,zero,some,high,low,high,far,high,medium-high,zero-low,zero-low,zero,some,high,low,high,far,low-medium,low-medium,zero-low,zero-low,medium-high,zero,some,high,low,high,far,low-medium,low-medium,zero-low,zero-low,medium-high,zero,some,high,low,high,far,low-medium,medium-high,zero-low,zero-low,medium-high
1040,medium-high,zero-low,most,some,high,high,medium,far,high,medium-high,low-medium,zero-low,zero,some,high,low,high,far,high,medium-high,zero-low,zero-low,medium-high,zero,zero,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,high,zero,zero,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,high
1041,low-medium,medium-high,most,most,low,low,medium,no_sites,zero-low,low-medium,low-medium,zero-low,zero,some,low,low,low,no_sites,medium-high,zero-low,low-medium,zero-low,medium-high,some,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,medium-high,some,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,medium-high
1042,low-medium,high,zero,some,low,low,medium,no_sites,low-medium,low-medium,medium-high,zero-low,zero,most,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,zero-low,some,most,low,low,medium,no_sites,zero-low,low-medium,medium-high,zero-low,zero-low,some,most,low,low,medium,no_sites,zero-low,low-medium,medium-high,zero-low,zero-low
1043,zero-low,medium-high,most,most,low,low,medium,no_sites,high,low-medium,medium-high,zero-low,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,high,zero-low,medium-high,zero-low,zero-low,zero,zero,low,low,medium,no_sites,high,medium-high,zero-low,zero-low,medium-high
1044,low-medium,zero-low,some,some,high,low,medium,far,high,medium-high,zero-low,zero-low,some,most,high,low,medium,far,high,medium-high,zero-low,zero-low,medium-high,some,most,high,low,medium,far,high,medium-high,zero-low,zero-low,medium-high,some,some,high,low,medium,near,low-medium,medium-high,zero-low,zero-low,medium-high
1045,zero-low,low-medium,some,most,high,low,high,near,high,medium-high,low-medium,zero-low,some,most,high,low,high,near,high,medium-high,zero-low,zero-low,low-medium,zero,some,high,high,high,near,high,medium-high,zero-low,zero-low,low-medium,some,most,high,low,high,near,high,medium-high,zero-low,zero-low,low-medium
1046,zero-low,medium-high,most,most,low,low,medium,no_sites,zero-low,zero-low,medium-high,zero-low,most,most,low,low,medium,no_sites,medium-high,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,zero-low,most,most,low,low,medium,no_sites,medium-high,low-medium,medium-high,zero-low,zero-low
1047,low-medium,medium-high,some,some,low,low,medium,no_sites,medium-high,low-medium,zero-low,zero-low,some,some,low,low,medium,no_sites,zero-low,medium-high,zero-low,zero-low,low-medium,some,some,low,low,medium,no_sites,zero-low,medium-high,zero-low,zero-low,low-medium,some,some,low,low,medium,no_sites,zero-low,medium-high,zero-low,zero-low,low-medium
1048,low-medium,low-medium,most,some,medium,low,medium,no_sites,zero-low,low-medium,medium-high,zero-low,most,some,medium,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,zero-low,most,some,medium,low,medium,no_sites,low-medium,zero-low,medium-high,zero-low,zero-low,zero,some,low,low,medium,no_sites,low-medium,low-medium,medium-high,zero-low,high
